Timestamp,Pressure (mbar)
1729538130.9219143,2.14121845526362
1729538130.9838603,2.039255671679721
1729538131.0389585,2.14121845526362
1729538131.1090975,2.243181238847809
1729538131.1692288,2.243181238847809
1729538131.2293265,2.243181238847809
1729538131.2894726,2.14121845526362
1729538131.355705,2.039255671679721
1729538131.418043,2.039255671679721
1729538131.4788306,2.039255671679721
1729538131.5397022,2.14121845526362
1729538131.5998778,2.3451440224317084
1729538131.6625133,2.3451440224317084
1729538131.7297037,2.243181238847809
1729538131.7893844,2.3451440224317084
1729538131.8595374,2.243181238847809
1729538131.9162166,2.3451440224317084
1729538131.9831748,2.3451440224317084
1729538132.0427892,2.4471068060156074
1729538132.1027167,2.3451440224317084
1729538132.1654565,2.3451440224317084
1729538132.2264223,2.3451440224317084
1729538132.2882755,2.243181238847809
1729538132.3514378,2.3451440224317084
1729538132.4148045,2.4471068060156074
1729538132.4758098,2.4471068060156074
1729538132.5374348,2.5490695895997963
1729538132.6154716,2.5490695895997963
1729538132.6801708,2.5490695895997963
1729538132.7550044,2.5490695895997963
1729538132.818096,2.6510323731836953
1729538132.8810077,2.6510323731836953
1729538132.9452653,2.7529951567675943
